Commentaire,Statut
صدق قول الله تبارك وتعالى ..واذا لقوا الذين  امنوا قالوا امنا واذا خلوا الى شياطينهم قالوا انا معكم انما نحن مستهزؤون الله يستهزؤا بهم ويمدهم في طغيانهم يعمهون ..صدق الله العظيم,Négatif
مزال 8اشهر لا يحبو ولايمشي,Positif
صح عيدكم,Positif
Aya Maya ممكن سوال,Positif
👏,Positif
BB Cool أسماء مروة عائشة,Positif
قاطعتو والحمد لله كنت نستعمل غير فيه,Négatif
Moi,Positif
عودة القط,Positif
"اللهم إنا لا نملك لغزه وأهلها إلا الدعاء فيارب لا ترد لنا دعاء ولا تُخيب لنا رجاء وأنت أرحم الراحمين.
..اللهُم كُن لاهل غزة  عونًا ونصيرًا، وبدّل خوفهم أمنًا. 
  اللهم احرسهم بعينك التي لا تنام.
  اللهم اجعل لأهل غزه النصرة والعزة والغلبة والقوة .
  اللهم رد إلينا فلسطين والمسجد الاقصى ردًا جميلاً .
اللهُم إنا نستودعك غزة وأهلها
اللهُم كُن لغزه عوناً ومعيناً وحافظاً ومؤيداً ونصيرا
اللهم سدد  رميهم وادفع عنهم بجندك
اللهم مكن لعبادك بالنصر على الأعداء 
اللهم إنا لا نملك إلا الدعاء فيارب لا ترد لنا دعاء ولا تخيب لنا رجاء وأنت أرحم الراحمين",Positif
هو الراعي الرسمي لماعيني,Positif
"Bref❌❌مقاطعة 
 لمن يظن أن شركة bref
  جزائرية 
 Bref تابعة لشركة❌❌hankel❌❌",Négatif
Lynda Amrane حطلي كفاه داير فطوه,Négatif
مجال الاسطورة عمل خيالي و الربح مضمون الدخول بمتين الف الخروج بسطاش مئة ربح خيالي ليحب يفهم يبعتلي ميساج ❤️🫶,Positif
Pril Isis inchallah saha aidkoum,Positif
"حسبي الله ونعم الوكيل فيمن اشترى بضاعتهم
صدق قول الله تبارك وتعالى ..واذا لقوا الذين  امنوا قالوا امنا واذا خلوا الى شياطينهم قالوا انا معكم انما نحن مستهزؤون الله يستهزؤا بهم ويمدهم في طغيانهم يعمهون ..صدق الله العظيم",Négatif
"#انقذواغزة
#انقذوافلسطين
#افتحوامعبررفح
#غزةـتباد
#غزةتجوعو ليشهد الله أننا ما خذلناهم 😔🥺 قلبا و روحا و ما بوسعنا إلا الدعاء🇵🇸ثبتهم الله نصرهم الله أواهم الله أيدهم اللهم أنصرهم نصرا عزيزا اللهم كن لهم وليا و نصيرا حسبي الله و نعم الوكيل فيكم 💔🇵🇸
إرفعوا الهاشتاج لمساعدة أهلنا في غزة💔🇵🇸
#GazaUnderAttack
#SaveGaza #Gaza_is_under_bombardment #gaza_under_attack_now
#Save_Gaza
#Support_Gaza
#savesheikhjarrah
#PLM
#PalestinianLivesMatter
#أنقذوا_غزة
#غزة_تقصف
#غزة_تحت_القصف

#لن_نرحل
#القدس_تنتفض
#فلسطين_تنتفض
#رفح
#اللهم_نستودعك_إخوتنا_في_غزة 
#حسبنا_الله_و نعم_الوكيل
#شمال_غزة_يموت_جوعا
  حسبنا الله و نعم الوكيل
حسبنا الله و نعم الوكيل
حسبنا الله و نعم الوكيل
فوضنا أمر غزة لله حسبنا الله و كفى 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🤲🤲🤲",Négatif
"Le chat sensitive
Le chat deep clean",Positif
هايل,Positif
هذا تاع Henkel من اكبر الداعمين للبني صهيون. باطل مانستعملوش و كاين البدائل و خير منو,Négatif
"Le chat bébé 
Le chat power rose
Dimanche 9 mars 2025 (Hamdou)",Positif
الله لايربحكم ماكمش تشوفو في غزة,Négatif
مزال يخض واحد اكيد أنا 😌🙄🥲,Positif
BB Cool آمين يارب العالمين,Positif
ألف ألف مبروك للفائزين,Positif
"يوم الجمعة 7مارس
Le chat power gel rose",Positif
في ميزان حسناتكم,Positif
,Positif
مقاطعة,Négatif
مقاطعة,Négatif
منتوج مقاطع,Négatif
😍😍😍,Positif
عامين ربي يحفظهالي 😍,Positif
روعة,Positif
"Boycott ❌❌❌❌❌
قتالين 
Assassins 
Killers",Négatif
Bref نورمالمون راكم من المنتجات المقاطعة,Négatif
مقاطعة منتوجات داعمة للكيان الصهيوني,Négatif
Ouiza Ab merci,Positif
مشاءالله تبارك الرحمن ربي يبارك فيكم احلى لمة مع الأطفال صغار ربي يجازكم,Positif
BB Cool امين يارب العالمين,Positif
Bref Algérie زعمة صح يرغوي مليح و الا رغوة خفيفة و زيد المهم المادة الفعالة لي تنقي ... حتى لدرك راه عاجبني جل البتراء رغوة و ريحة و فعالية,Positif
ريحتو تهبل الله يبارك,Positif
...,Neutre
Nike mok,Négatif
Le chat expert et le chat savon Marseille,Positif
رااائع,Positif
يحاول يوقف,Positif
لو عايز تعرف باسورد أى شبكة واى فاى wifi وتفتح منها نت & افتح جوجل واكتب فى البحث ӍBZ3 أدخل اول موقع يظهرلك فى البحث & هتحط اسم الشبكة هيظهرلك الباسورد,Neutre
بنتي لكبيرة ربي وريهالي فلمنام اسماء والثانية عمتها سماتها رودينا ربي يحفظهملي هوما كلش واش عندي,Positif
عبد الجلیل Meriem GoldHeart Rayene Chabbi,Positif
,Positif
هايل,Positif
مقاطعة,Négatif
"Tayeb Madrid  السلام عليكم ورحمة الله وبركاته 
يرجى التنويه أنو هذا المنتج تابع لشركة هنكل المللطخة بدماء أهلنا في غزة
هذه الشركة تقدم أموال و دعم معنوي(كالتوقيع على وثيقة تساند حرب الابادة التي يشنها الكيان على غزة) لهذا الاحتلال الصهيوني 
يرجى الإنضمام المقاطعة الناجحة حول العالم و عدم التعامل و التواطئ مع مثل هذه الشركات.",Négatif
مقاطع 🇮🇱,Négatif
مهدى,Positif
"السهرة تنين 
معا الحاج 
ا نشاله",Neutre
Parce que  les taches et les impuretés  s incrustées dans  l envers du véhément et  pour  protéger  la couleur  du  vêtement  surtout  pour les couleur  particulièrement  le noir,Positif
مقاطعة,Négatif
مقاطع,Négatif
BB Cool امين,Positif
مستمرون في مقاطعة ماركة Pril ✌️✌️✌️,Négatif
ربي يكثر من أمثالكم يا رب,Positif
مبروك للفائرين المهم ماتنساوناش المرة الجاية فالمسابقات Pril Isis راه العام كامل واقف فالكوزينة,Positif
الشكر موصول لكمج,Neutre
https://www.facebook.com/100063587005431/posts/1247600997369455/?app=fbl,Neutre
انا من عشاق بريل ازيز من مده وحين دهبت الى ولاية قسنطينه في مول ريتاج وجدت متطوعين يديرو في اشهار ويوزعون في ازيزبريل للاسف تمد فيه معرفه عمال مش في القمه حاول دير اشهار بناس تعرف تشهر ماش بالفظ تزعش كبارالسن احكي ماشفت عيني وسمعت ودني وصحه عدكم,Négatif
بالتوفيق لكم 🤲🏻🤲🏻,Positif
من نهار عرفنا عندنا طفلة قررنا نسميوها هديل نهار زيدت عيطلي راجلي قالي نسميوها رزان هههه قتلو اوكي زدت جبت طفلة سميتها هديل ربي يحفظهم ويحميهم ويجعلهم ذرية صالحة,Positif
دراعك ليمن فهاد اليمات,Positif
"هل أنت مستعد لقلب موازين حياتك وتحقيق ثروة لم تكن تتخيلها؟ هل تحلم بحياة الرفاهية والاستقلال المالي دون عناء؟ نقدم لك فرصة استثنائية للدخول إلى عالم الأرباح اللامحدودة، حيث تتحول أحلامك إلى واقع ملموس!** ✨
لا مزيد من الوظائف التقليدية المرهقة أو المشاريع التجارية المحفوفة بالمخاطر.** ‍♂️
معنا، يمكنك تحقيق أرباح هائلة بضغطة زر، ودون الحاجة إلى أي خبرة أو مهارات خاصة.** ️
انضم إلى مجتمعنا الحصري، واكتشف أسرار النجاح المالي الذي يغير حياتك إلى الأبد! لا تدع هذه الفرصة الفريدة تفلت من بين يديك، فالوقت يمر بسرعة!** ⏳
تواصل معنا الآن",Neutre
بالتوفيق النضافة من الإمان والوسخ من الشيطان,Positif
مقاطعة ❌❌❌❌,Négatif
غ,Neutre
#العقود _المنتهية_pid_dais_تستغيث,Neutre
كاين عندنا في البليدة,Positif
Le chat power gel Rose .le chat savon Marseille,Positif
"قيمة زكاة الفطر
 في غزة
 توافق
800دج",Négatif
اسم محسن تبارك الرحمن با اسمه الحسنة,Positif
فووور,Positif
هذه المنتوجات داعمة للكيان... اتقوا الله يا مسلمين,Négatif
Chahra Zerdani,Positif
مزال دنيا بخير هههه شريتو بدراهمي يا ختي انا كي يعجبني منتوج نهدر عليه بلا ما يخلصوني,Positif
منتج هايل نغسل غير بيه,Positif
Maissa Maissa كما انا . حتى درت ورقة وسجلتهم ههه,Positif
و من انت ايها الخنزير المتصهين . مبعوث الصهاينة ايها الكلب المطيع . تريد ان ترى الجزاءر ممزقة يا ابن الفاجرة . الشهداءشهداءنا و البلاد بلادنا و الجنرالات جنرالاتنا و انت مادخلك ايها الكلب ..لماذا لا تنصح شعبك ايها النجاسة . الجزاءر وجعتكم يا عبيد الصهاينة .,Négatif
😎😎😎,Positif
روعة بصح راه مكانش تحوسي، عليها مكانش,Positif
"للحفاظ على الألوان... و عدم تعريضها للبهتان، و لكي نحافظ على الأقمشة و التفاصيل ""الأزرار مثلا و الدونتيل و غيرها البسطة 23 مارس  2 025",Positif
Bref Algérie العفو,Positif
شكر كبير على كل مايقدمه هاد منتوج 👍👍👍,Positif
آنہآمہل آلشہعہرآء انتوما يطاقيكم بنادم في مشور تبدو تتنمرو علي ناس في تعليقات,Neutre
وعيدكم مبارك وكل عام وانتم بخير وينعاد عليكم بالعافيه ودوام الصحة,Positif
Bref cuisine rah maktou3 au niveau de Mostaganem,Positif
مقاااااطعة 🚫,Négatif
Bref Algérie اوك,Positif
"خاوتي لي يقدر ينسخ التعليق ويعلق بيه :السلام عليكم ورحمة الله وبركاته 
يرجى التنويه أنو هذا المنتج تابع لشركة هنكل المللطخة بدماء أهلنا في غزة
هذه الشركة تقدم أموال و دعم معنوي(كالتوقيع على وثيقة تساند حرب الابادة التي يشنها الكيان على غزة) لهذا الاحتلال الصهيوني 
يرجى الإنضمام المقاطعة الناجحة حول العالم و عدم التعامل و التواطئ مع مثل هذه الشركات.",Négatif
مبروك,Positif
شكون سمعت بالمنصة التعليمية الجزائرية نا راني فيها والخلصة كل اسبوع الحمد الله قالولي عليها،كذبت لكن دخلت وراني نخلص كل اسبوع لمزال مدخلتش راكي،مراطية فرصة من ذهب وتدخلك ارباحك في ccp العمل من البيت متخرجيش من دار في وقت فراغك ولي تدي منحة بطالة متأثرش عليها بلعكس عندك زوج مداخيل واو لمهتمة ترسلني منبخل عليها والو يارئعات,Neutre
Vous aimez pas la pau noir alors nous pouvons pas travailler avec vous,Négatif
ريحة الله يبارك ، وزعوه في حي باتيور وهران، عجزت نشارك غير على خاطر الصورة، عجزت نصور😁,Positif
B,Neutre
اسميته يعقوب ولكن مات,Positif
"الله يبارك 
#تحلى_اللمة
العشرة_تلمنا
لمة_10_سنين
Pril Isis",Positif
,Négatif
#شمال_غزة_يموت_جوعا .,Neutre
لي مصور ماشي مراد طهاري☺️,Neutre
Wamchi,Positif
"كنت نسمع في بدر المشاري وهو يقول في نسب الرسول صلى الله عليه وسلم وعجبني اسم واحد من اجدادو ""لؤي"" سميتو",Positif
Safa Safa na7i,Neutre
تم,Positif
Pril Isis اللهم امين يارب العالمين,Positif
Bien,Positif
Safa Safa,Positif
Möûñ Îrä  آنہآمہل آلشہعہرآءواش فكرتكم,Positif
Pour éviter que les vétements fassent des petites boules et éviter que les dessins ou les couleurs s enlèvent au fil des lavages le linge reste ainsi plus longtemps neuf,Positif
يوم الجمعة,Positif
Pril Isis انشالله,Positif
انا نحطو في الماء وقطرا ت خل,Positif
Salima Meroul https://www.facebook.com/share/g/1At66rKSAX/,Neutre
صورة سابقى لي مع برال اككيد,Positif
"أم رشيد السلام عليكم ورحمة الله وبركاته 
يرجى التنويه أنو هذا المنتج تابع لشركة هنكل المللطخة بدماء أهلنا في غزة
هذه الشركة تقدم أموال و دعم معنوي(كالتوقيع على وثيقة تساند حرب الابادة التي يشنها الكيان على غزة) لهذا الاحتلال الصهيونازي 
يرجى الإنضمام المقاطعة الناجحة حول العالم و عدم التعامل و التواطئ مع مثل هذه الشركات.",Négatif
"Bref Algérie شانقولكم يعطيكم الصحة هكا نبغو منتوج جزايري ذو جودة عالية .. شريته بارحة 
 وخدمت به يوم صباح والله روعة عجبني بزااااف نتمنى تزيدو تصنعو غسول للأواني ومعطرات أرضية وجوية",Positif
"Savon marseille
Rose
Hamidou 9 mars",Positif
وين نلقاهم ربي يحفظك,Positif
الاواني لا تعقم بماء جافيل لانها خطر على صحة الكلى. بل يفضل تعقيمها بالخل او خلق الكحول. وليس خل التتبيل.,Négatif
Je le trouve où,Positif
هداك مابقالي,Négatif
"ارفع الهاشتاج.. للأول عالميا !!
 
 #شمال_غ_زة_يموت_جوعاً‬",Neutre
عباس ريغي,Neutre
صح عيدكم,Positif
مبروك,Positif
جميل,Positif
#boycotte,Négatif
مسحقتهم ارجوي,Neutre
"لي طاحت عينو فلكومونتار إن شاء الله يعطيك ما تتمنى وإذا عندك مريض ربي يشافيه وإذا في قلبك حاجة ربي يقضيهالك 💗

ديروا لبنت بلادكم ابوني دعموها بديت مشروعي المصغر ربي يرزقكم ما تتمنون 🥹🤲🏻",Neutre
"Pour la javel moussante c un produit incontournable 👍🏻
 Svp on cherche la javel blanche depuis un moment et introuvable partout : a elle était retirer du marché ?",Positif
اللهم بارك و زد Pril Isis,Positif
مقاطعة,Négatif
Maman De Mouhammed Selma Kh Amir Nidel,Positif
Vîę Pęrdû أمي قرة عيني بسمة حزن,Positif
مقاطعة,Négatif
مقاطعة غزة تحت القصف غزة تباد حسبنا الله و نعم الوكيل,Négatif
,Positif
روعة,Positif
عيد كم مبارك,Positif
"أم الاء اسراء السلام عليكم ورحمة الله وبركاته 
يرجى التنويه أنو هذا المنتج تابع لشركة هنكل المللطخة بدماء أهلنا في غزة
هذه الشركة تقدم أموال و دعم معنوي(كالتوقيع على وثيقة تساند حرب الابادة التي يشنها الكيان على غزة) لهذا الاحتلال الصهيوني 
يرجى الإنضمام المقاطعة الناجحة حول العالم و عدم التعامل و التواطئ مع مثل هذه الشركات.",Négatif
"Oum Âbdo 
 ❌❌مقاطعة❌❌ لأنو تابع لمجموعة #HENKEL التي تدعم اليهود والتي تضم : الماركات التالية: 
 Henkel Atlas , Bref , Diadermine 
 LeChat , Fa , Minidou , Mi , Persil , Schwarzkop , Sergio Tacchini , Somat , Super Croix ,Viva , Vidal ,Teraxyl",Négatif
عيدكم مبارك سعيد كل عام وانتم بألف خير,Positif
بالتوفيق,Positif
BB Cool آمين يارب العالمين ويحفظ ماعندك يارب,Positif
شحال عندكم الوقت ههههه,Neutre
Bref Algérie اه شكرا على الرد,Positif
احسن منتوج  الله يبارك راني غير بيه و ماشاء الله على تحسين الجودة  👌🏻,Positif
Pour mieux lavé le linge,Positif
ابني سميتوا انا وباباه ريسال وزادلوا باباه عبد الحميد على اسم خوه ربي يرحموا,Positif
"Le chat sensitive 
Le chat Eco-Efficacité",Positif
"Le chat Eco-Efficacité
Le Chat Laine & Délicats",Positif
#شمال_غزة_يموت_جوعا,Positif
لا أستغنى عليه,Positif
الله يبارك ما شاء الله صحه عيدكم 🥰❤️,Positif
سميتها ريتال أمنيتي تصبح مرتله القرآن اللهم آمين يا رب العالمين,Positif
#شمال_غزة_يموت_جوعاً,Positif
لو عايز تعرف باسورد اى اكاونت فيسبوك وتفتحه بدون برامج . افتح جوجل واكتب فى البحث MBZ9 وادخل اول موقع يظهرلك فى البحث & هتحط رابط الاكاونت هيظهرلك الباسورد,Neutre
شكرا,Positif
سلام لبناااات بعد ماكنت نعاني من ازمة مالية وديون كبيييرة حتى تعرفت على المشروع راااائع ألي قدر إبدل حياتي 🥰 حابة تكوني معانا تواصلي على الخاص,Neutre
مقاطعة لأجل إخوتنا في غزة 🇵🇸,Négatif
الف مبروك 🥰🥳🥳,Positif
Hamza Hamza https://www.facebook.com/share/g/1At66rKSAX/,Neutre
منتوج رائع وبياض ناصع,Positif
قريب نشربو تالمون ندير بيه كلش 🤣🤣🤣,Positif
الوردة الجورية شحال في عمرها,Positif
مبارك للفائزين,Positif
عيد فطر مبارك,Positif
Ma Nel ان شاء الله حتى انا اهلي رانا مع مقاطعة,Négatif
"الجزائر كاملة تحتاج ان تتطهر منكم ومن امثالكم من المنتجات الداعمة للكيان الصهيوني.
 منتجكم ضمن المقاااطعة ❌❌",Négatif
Pour préserver les motifs,Positif
أولادي جنتي https://www.facebook.com/share/g/1At66rKSAX/,Neutre
https://m.facebook.com/groups/410468785237661/?ref=share&mibextid=NSMWBT,Neutre
"ابني ءايهاب سماه باباه وبنتي وصال سماها اخوها وبنتي تقوى سميتها انا ❤️ 
 ربي يحفظهم",Positif
"Le Chat Sensitive
Le Chat Laine & Délicats

La soirée du 8 .
Merci le chat 🐱🐱🐱",Positif
Henkel boycott,Négatif
Amary Llis مواد التنظيف لازالة الاوساخ ومواد التطهير لازالة الجراثيم ههه,Positif
محمد امير,Positif
Pour la joie des autres,Positif
Ikram Sln,Positif
يحاول يوقف,Positif
مافهمتش حكايتو هدا نلقاوه فسوبرات ولا تجو على غفلة بكميات محدودة,Négatif
"🌸💜عيدكم مبارك سعيد 💜🌸
 🌸💜 كل عام وأنتم بخير 💜🌸",Positif
يوم السبت,Positif
زيادة ب 2 د.ج ونقصولوا 100 غ,Neutre
رووووعة 😍 ماشاء الله,Positif
الف مبروك لعقوبة لينا يا رب العالمين,Positif
نعم,Positif
الخل من الاحسن,Négatif
عيدكم مبارك وكل عام وانتم بالف خير،  من ولاية بشار ❤️✅️🌹🇩🇿,Positif
,Négatif
ك حد مد حد,Neutre
يا إيزيس وليت ما ترغيش لماعن كيما بكري الجودة بذات تنقص,Négatif
Bravo pril isis,Positif
صح عيدكم دومج معرفتش انكم هنا عندنا في تيزي وزو اتمني تعودوا تزورونا في اقرب فرصة وشكرا لكم .,Positif
"Henkel مقاطعة ❌ 
تدعم جنود الصhاينة",Négatif
منتوج ما شاء الله,Positif
Pricesse Dina,Négatif
Kouna mazel ma 3refna la bent WALA weld alors m début khtarna adem houcine W g3edna ngoulo haka hata li cheft beli weld hamdoulilah Rabi yahfedholi,Positif
"Le Chat برائحة الورد نظافة وانتعاشاً
ملابس نظيفة و بيضاء و غسالة برائحة الانتعاش  Le Chat
le chat صابون مرسيليا",Positif
قروب دني محترم ممكن دعم من فضلكمhttps://facebook.com/groups/857283746185410/,Neutre
C'est une belle chose,Positif
Bref Algérie العفو 🌹🌹🌹♥️,Positif
Pril Isis آمين يارب العالمين,Positif
"Tout simplement Pour protéger les couleurs et les motifs, d’éviter l’usure due au frottement et de préserver la qualité du tissu Le Chat 
El basta 🙏",Positif
"Mais Enfants Ma Vie ربي يلقبك بيه فلجنة 
 ربي يرحمها",Positif
مقاطع 🇮🇱,Négatif
عيد مبارك ❤️😍,Positif
Sî Hąm براف جافيل اساعدك على تلميع النجمة 🙂😂,Positif
مادابينا تجيو لتلمسان,Positif
"إبني الأول أمين لأنه أمانة عند والدي لي رباهولي أحسن تربيته و الله يجازيه الخير الحمد لله 
 و بنتي إستبرق من حبي لسورة الكهف سميتها به",Positif
سلام.ممكن.الرقم,Positif
ام انس وجاد اي ريحة فيه,Positif
BB Cool شكرا,Positif
ماهوش مركز خفيف بزاف,Négatif
نموت على ناس عنابة رجال ونساء,Positif
Abla Bellil https://www.facebook.com/share/g/1At66rKSAX/,Neutre
وصہٰية الرسٰول المنتج مقاطع,Négatif
❤️❤️❤️❤️❤️❤️❤️,Positif
عيدكم مبارك,Positif
Pour  garder  les vêtements  plus  longtemps  et éviter qu'ils  s'accroche au tambour  quand  ils présentent  des  détails  relief  . La fibre  sera  préservé  de l'action  du tambour  et cela  permet  d'éviter les  boulouches.  Pour  le  jeudi  27 mars  inchallah,Positif
يمشي,Positif
سلام عليكم خدمت 5 ولايات جازو كامل طوب رغاية.البليدة.بشار.وهران.مستغانم.كل تحية لشركة Isis.او mn agounsi,Positif
https://www.facebook.com/photo.php?fbid=122165219852301693&set=a.122100674714301693&type=3&app=fbl,Neutre
عايز تعرف الباسورد لأى اكاونت facebook . افتح جوجل واكتب فى البحث 9mbz أدخل اول موقع يظهرلك فى البحث & هتحط رابط الاكاونت هيظهرلك الباسورد  بث,Neutre
🇦🇷😭🤣😂😅,Négatif
Mais je vois que c'est pas les pauvres qui en profitent,Négatif
RE NA روحي نافيڨي 😂,Positif
...,Neutre
مقاطعين ومقاطعين ولو كانت رائحته مسك,Négatif
تبرعوا لبيوت الله المصلى والمراحيض تؤجرون,Neutre
C'est était une soirée inoubliable vraiment merci Pril isis,Positif
"عمر عمر ننننن عندي 2 بنات 
 مي كون يرزقني ربي لطفل منسميش محمد",Positif
"""اللهمَّ انتِقَامًا؛ لا بِحجمِ الأَلَم، بل بقُدرَتك المُطلقَة، اللهم انهم تجبّروا فأرهم جبروتك، اللهم قد طالت الغُمة واشتدت المحنة وعظُم البلاء ففرِّج عن المستضْعفين.""🇵🇸🇵🇸💔يارب نتوسل بك اليك ونقسم بك عليك ان تجعل لنا ولهم مخرجا يارب لطفك بفلسطين وعبادك المسلمين ولا حول ولا قوة الا بالله نعوذ بالله من هذا العجز ونحن نرى إخواننا، ولا نستطيع صرفًا ولا دفعًا ولا وصولًا، اللهم إنا نشكوا إليك ضعف قوتنا وقلة حيلتنا وهواننا على الناس، أنت رب المستضعفين وأنت ربنا
اللهم انا نستودعك فلسطين واهلها
#اللهم_نستودعك_اخوتنا_في_غزة يارب ياكريم ياحي يا قيوم ندعوك باسمك الأعظم ان تحفظ شعبها و ارضها وجوها وبحرها

حسبنا الله ونعم الوكيل",Négatif
Bref Algérie نحن سكان بلدية برج الامير عبد القادر من ولاية تيسمسيلت وهي حصن الامير عبد القادر أيام المقاومة ولله الحمد انا مدينتنا مدينة نظيفة وهذا مايشهد له العام الخاص نلتمس منكم التنسيق معانا نحن كشباب من أجل القيام بعملية تشجير وكذا تزويدنا بلافتات اشهارية تحث على النظافة وحبذا لو لوحة فنية تكون على مدخل المدينة خاصة بالرمز الامير عبد القادر,Positif
يارب كام فاسزة,Positif
جزاكم الله خير,Positif
بالمقاطعة تراثنا يبقى,Négatif
وعلاه ما عيطتوليش كنت نجي متطوعة,Positif
"Pril Isis 
متميزون دائما موفقين باذن الله",Positif
"Le chat rose soin de linge et la machine et deep clean 
Samedi le 08 mars",Positif
عشق❤🌹♥,Positif
الف مبروك,Positif
Bref Algérie 🙏❤️🇩🇿,Positif
Bref Algérie le Chlore reste dans les aliments et c'est très nocif pour notre santé par contre le vinaigre non.,Positif
شكرا على الطريقة مكنتش نعرفها اول مرة شفتها,Positif
قانون اداري من فضلك,Neutre
الله يكثر من أمثالكم,Positif
نهار شتاء نمشي في الطريق للعمل رائحة ندى المطر رائعة قررت يومها نسمي ابنتي ندى هههههه,Positif
Super,Positif
…..,Positif
الف مبروك للجميع,Positif
ملينا رقية...ايمن ادم ....وادعولي نسلك بمحمد جواد,Positif
بركاو من الفرنسية حاسبوا انفسكم,Négatif
يحبي,Positif
https://t.me/+BAGBpS244BZmYWJk,Neutre
"Iya Dę السلام عليكم ورحمة الله وبركاته 
يرجى التنويه أنو هذا المنتج تابع لشركة هنكل المللطخة بدماء أهلنا في غزة
هذه الشركة تقدم أموال و دعم معنوي(كالتوقيع على وثيقة تساند حرب الابادة التي يشنها الكيان على غزة) لهذا الاحتلال الصهيونازي 
يرجى الإنضمام المقاطعة الناجحة حول العالم و عدم التعامل و التواطئ مع مثل هذه الشركات.",Négatif
Le Chat 💚💚💚💚,Positif
التائب لله احمد هؤلاء يدعمون الكيان الصهيوني قاطعوهم,Négatif
مليح خير من كوكاكولا بصح زيدولو شوية ليغاز وخدمونا دوق التفاح,Neutre
"😔ارفع الهاشتاج.. للأول عالميا !!
 
 #شمال_غزة_يموت_جوعاً‬ 
 
 المجاعة مستمرة💔😢",Neutre
ابني الاول سراج الدين وبنتي توام ضحى وسجى,Positif
